Architect|Borough|DateDesignated|LPCId|LPNumber|Name|ObjectType|PhotoStatus|PhotoURL|Street|Style
James E. Ware|Manhattan|7/23/1974|866|LP-00866|1321 Madison Avenue House|Individual Landmark|FALSE||1321 Madison Avenue|Queen Anne
Unknown|Manhattan|7/23/1974|867|LP-00867|67 East 93rd Street House|Individual Landmark|FALSE||67 East 93 Street|N/A
Horace Trumbauer|Manhattan|7/23/1974|868|LP-00868|Mrs. Amory S. Carhart House (now Lycee Francais De New York)|Individual Landmark|FALSE||3 East 95 Street|Beaux Arts
Grosvenor Atterbury and Egisto Fabri|Manhattan|7/23/1974|869|LP-00869|Edith Fabri House|Individual Landmark|FALSE||7 East 95 Street|Neo-Italian Renaissance
Frederick Law Olmstead and Calvert Vaux|Brooklyn|1/28/1975|871|LP-00871|Ocean Parkway|Scenic Landmark|FALSE||Ocean Parkway Between Church Avenue And Seabreeze Avenue|N/A
Unknown|Manhattan|11/26/1974|872|LP-00872|Hamilton Heights Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0872.jpg||N/A
A.S. Macgregor|Queens|11/12/1974|875|LP-00875|The Register/Jamaica Arts Center|Individual Landmark|FALSE||161-06 Jamaica Avenue|Neo-Italian Renaissance
Frederick L. Ackerman|Manhattan|11/12/1974|876|LP-00876|First Houses|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0876.jpg|29-41 Avenue A And 112-138 East 3Rd Street|N/A
Unknown|Manhattan|11/26/1974|877|LP-00877|Kitchen, Montross & Wilcox Store|Individual Landmark|FALSE||85 Leonard Street|Cast Iron, Sperm-candle, Renaissance Revivval
Raymond Hood|Manhattan|11/12/1974|878|LP-00878|American Radiator Building|Individual Landmark|FALSE||40 West 40Th Street|Neo Gothic
Lusby Simpson|Manhattan|11/12/1974|879|LP-00879|Bryant Park|Scenic Landmark|FALSE||Sixth Avenue At West 42Nd Street|N/A
Carrère and Hastings|Manhattan|11/12/1974|880|LP-00880|New York Public Library, Astor, Lenox and Tilden Foundations|Interior Landmark|FALSE||476 Fifth Avenue|N/A
Louis Sullivan; Lyndon P. Smith|Manhattan|11/25/1975|882|LP-00882|Bayard-Condict Building|Individual Landmark|FALSE||65-69 Bleecker Street|N/A
Cass Gilbert|Manhattan|3/25/1975|883|LP-00883|United States Courthouse|Individual Landmark|FALSE||1 Foley Square|Classical Revival
CPH Gilbert|Manhattan|3/25/1975|884|LP-00884|Joseph Raphael De Lamar House|Individual Landmark|FALSE||233 Madison Avenue|Beaux Arts
Unknown|Brooklyn|3/25/1975|885|LP-00885|Gage & Tollner Restaurant|Interior Landmark|FALSE||372 Fulton Street|N/A
Unknown|Bronx|5/27/1975|886|LP-00886|Bartow-Pell Mansion, Interior|Interior Landmark|FALSE||Pelham Bay Park|Greek Revival
Town & Davis; Samuel Thompson; William Ross; John Frazee|Manhattan|5/27/1975|887|LP-00887|United States Custom House|Interior Landmark|FALSE||28 Wall Street|Greek Revival
Unknown|Manhattan|5/27/1975|888|LP-00888|Morris-Jumel Mansion|Interior Landmark|FALSE||65 Jumel Terrace|Georgian/Palladian
John Russell Pope|Manhattan|7/22/1975|889|LP-00889|American Museum of Natural History, Memorial Hall, Theodore Roosevelt Memorial Building|Interior Landmark|FALSE||Central Park West At West 77Th Street|N/A
Unknown|Bronx|7/22/1975|890|LP-00890|Van Cortlandt Mansion|Interior Landmark|FALSE||Broadway|Georgian
Edward T. Potter|Staten Island|7/22/1975|891|LP-00891|St. Paul's Memorial Church & Rectory|Individual Landmark|FALSE||219|High Victorian Gothic
O'Reilley Brothers|Manhattan|7/22/1975|892|LP-00892|Our Lady of Lourdes Roman Catholic Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0892.jpg|465 West 142 Street|High Victorian Gothic
Unknown|Manhattan|9/23/1975|893|LP-00893|Stuyvesant Square Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0893.jpg||N/A
Archibald Manning Brown with John Louis Wilson Jr.|Manhattan|9/23/1975|894|LP-00894|Harlem River Houses|Individual Landmark|FALSE||173 West 151 Street / 181 West 151St Street; 183 West 152 Street / 180 West 152Nd Street / 180 West 152Nd Street;  210P West 153Rd Street; 210Q West 153Rd Street; 211A West 151St Street; 211H West 151|N/A
Unknown|Brooklyn|9/23/1975|895|LP-00895|Dry Dock #1|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0895.jpg|Dock Street At The Foot Of 3 Street, Brooklyn Navy Yard|N/A
James W. Naughton|Brooklyn|9/23/1975|896|LP-00896|Boys' High School|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0896.jpg|260 Madison Street|Romanesque Revival
William Lescaze|Manhattan|1/27/1976|898|LP-00898|William Lescaze House and Office|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0898.jpg|211 East 48Th Street|Modern
Carrère and Hastings|Manhattan|11/25/1975|899|LP-00899|Manhattan Bridge Arch and Colonnade|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0899.jpg|Manhattan Bridge Plaza At Canal Street|N/A
John H. Duncan|Manhattan|11/25/1975|900|LP-00900|General Grant National Memorial (Grant's Tomb)|Individual Landmark|FALSE||Riverside Park And Riverside Drive|Classical Revival
John H. Duncan|Manhattan|1/28/1975|901|LP-00901|General Grant National Memorial (Grant's Tomb)|Interior Landmark|FALSE||Riverside Park And Riverside Drive|Classical Revival
Frederick Law Olmstead and Calvert Vaux (landscapers)|Brooklyn|11/25/1975|903|LP-00903|Prospect Park|Scenic Landmark|FALSE||95 Prospect Park West; Grand Army Plaza; Prospect Park; Prospect Park / Grand Army Plaza|N/A
Kahn & Jacobs|Manhattan|1/27/1976|905|LP-00905|Municipal Asphalt Plant|Individual Landmark|FALSE||1712 York Avenue|Parabolic Arch
Unknown|Manhattan|3/23/1976|907|LP-00907|Chapel of the Good Shepherd, Roosevelt Island|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0907.jpg|Approximately Opposite 68 Street|N/A
James Renwick Jr|Manhattan|3/23/1976|908|LP-00908|Smallpox Hospital, Roosevelt Island|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0908.jpg|Approximately Opposite East 52 Street|N/A
Unknown|Manhattan|3/23/1976|909|LP-00909|Strecker Laboratory, Roosevelt Island|Individual Landmark|FALSE||Approximately Opposite East 52 Street|N/A
Unknown|Manhattan|3/23/1976|910|LP-00910|Octagon Tower, Roosevelt Island|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0910.jpg|Approximately Opposite East 79 Street|N/A
Unknown|Manhattan|3/23/1976|911|LP-00911|Lighthouse, Roosevelt Island|Individual Landmark|FALSE||Approximately Opposite East 86 Street|N/A
unk|Manhattan|3/23/1976|912|LP-00912|Blackwell House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0912.jpg|Approximately Opposite 65 Street|N/A
Joseph-François Mangin; John McComb, Jr.|Manhattan|1/27/1976|916|LP-00916|City Hall|Interior Landmark|FALSE||City Hall Park|18th century French civic building
Leopold Eidlitz|Bronx|3/23/1976|917|LP-00917|St. Peter's Church, Chapel and Cemetery|Individual Landmark|FALSE||2500 Westchester Avenue|Gothic Revival, High Victorian Gothic
George Sears Greene Jr.|Manhattan|7/12/1977|918|LP-00918|Pier A|Individual Landmark|FALSE||Battery Park|N/A
Unknown|Brooklyn|3/23/1976|919|LP-00919|Stoothoff-Baxter-Kouwenhoven House|Individual Landmark|FALSE||1640 East 48 Street|Dutch Colonial
Unknown|Brooklyn|3/23/1976|920|LP-00920|Elias Hubbard Ryder House|Individual Landmark|FALSE||1926 East 28 Street|Dutch Colonial
Unknown|Brooklyn|3/23/1976|921|LP-00921|Old Gravesend Cemetery|Individual Landmark|FALSE||40 Gravesend Neck Road|N/A
Unknown|Queens|3/23/1976|923|LP-00923|Rufus King House|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0923.jpg|150-05 Jamaica Avenue|Colonial
William Schickel|Manhattan|11/9/1976|924|LP-00924|Deutsches (German) Dispensary|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0924.jpg|137 Second Avenue|Italian Renaissance
George Hathorne|Queens|5/11/1976|925|LP-00925|New York State Supreme Court, Queens County, Long|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0925.jpg|25-10 Court Square|French Second Empire
John R. Thomas; Horgan & Slattery|Manhattan|5/11/1976|926|LP-00926|Hall of Records|Interior Landmark|FALSE||31 Chambers Street|Beaux-Arts
Kimball & Thompson|Manhattan|7/13/1976|927|LP-00927|Gertrude Rhinelander Waldo Mansion|Individual Landmark|FALSE||867 Madison Avenue|French Renaissance
Max Hausle and Joseph H. Freedlander|Bronx|7/13/1976|928|LP-00928|Bronx County Courthouse|Individual Landmark|FALSE||851 Grand Concourse|Classical
Unknown|Staten Island|7/13/1976|930|LP-00930|2876 Richmond Terrace House (Stephen D. Barnes House)|Individual Landmark|FALSE||2876 Richmond Terrace|Italianate, Gothic Revival
Frederic Auguste Bartholdi, Richard Morris Hunt|Manhattan|9/14/1976|931|LP-00931|Statue of Liberty National Monument|Individual Landmark|FALSE||1 Liberty Island|Neo-Grec pedestal
Stoughton & Stoughton with Paul EM DuBoy|Manhattan|9/14/1976|932|LP-00932|Soldiers and Sailors Monument|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0932.jpg|Riverside Drive|N/A
Unknown|Manhattan|9/14/1976|933|LP-00933|Saint Ceclia's Church|Individual Landmark|FALSE||120 East 106 Street|N/A
Napoleon Le Brun & Sons|Manhattan|9/14/1976|934|LP-00934|Saint Cecilia's Convent|Individual Landmark|FALSE||116 East 106 Street|Romanesque Revival
Ernest Flagg|Manhattan|9/14/1976|935|LP-00935|Scribner Building|Individual Landmark|FALSE||153-157 Fifth Avenue|N/A
Flagg & Chambers|Manhattan|1/11/1977|936|LP-00936|Oliver Gould Jennings Residence|Individual Landmark|FALSE||7 East 72 Street|Beaux Arts
Carrere & Hastings|Manhattan|1/11/1977|937|LP-00937|Henry T. Sloane Residence|Individual Landmark|FALSE||9 East 72 Street|Beaux Arts
Charles C. Haight|Manhattan|8/17/1976|938|LP-00938|Towers Nursing Home|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0938.jpg|455 Central Park West|N/A
Unknown|Manhattan|11/9/1976|939|LP-00939|17 West 16th Street House|Individual Landmark|FALSE||17 West 16 Street|Greek Revival
Unknown|Brooklyn|11/9/1976|940|LP-00940|Surgeon's House, Brooklyn Navy Yard|Individual Landmark|FALSE||22 Flushing Avenue|French Second Empire
Unknown|Queens|11/9/1976|941|LP-00941|Creedmoor Farmhouse|Individual Landmark|FALSE||74-03 Commonwealth Blvd|Colonial
Unknown|Staten Island|11/9/1976|942|LP-00942|Cubberly-Britton Cottage|Individual Landmark|FALSE||1001 Richmond Hill Road|Greek Revival
Frederick J. Sterner|Manhattan|1/11/1977|943|LP-00943|Barbara Rutherford Hatch Residence|Individual Landmark|FALSE||153 East 63 Street|N/A
Unknown|Queens|1/11/1977|944|LP-00944|Allen-Beville House|Individual Landmark|FALSE||236-12 Center Drive|Greek Revival
Unknown|Queens|1/11/1977|945|LP-00945|Prospect Cemetery|Individual Landmark|FALSE||94-14 Beaver Road|N/A
R.M. Upjohn|Brooklyn|1/11/1977|946|LP-00946|Saint George's Protestant Episcopal Church|Individual Landmark|FALSE||800 Marcy Avenue|High Victorian Gothic
Unknown|Manhattan|5/10/1977|948|LP-00948|South Street Seaport Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0948.jpg||N/A
Harvey Wiley Corbett|Manhattan|5/10/1977|949|LP-00949|New York School of Applied Design for Women|Individual Landmark|FALSE||160 Lexington Avenue|Classical
Fowler & Hough and Isaac Perry|Brooklyn|3/8/1977|950|LP-00950|23rd Regiment Armory|Individual Landmark|FALSE||1164 Atlantic Avenue|Romanesque Revival
William B. Tubby|Brooklyn|3/8/1977|951|LP-00951|83rd Precinct Police Station and Stable|Individual Landmark|FALSE||179 Wilson Avenue|N/A
Samuel B. Leonard|Brooklyn|3/8/1977|952|LP-00952|Public School 39|Individual Landmark|FALSE||417 6 Avenue|French Second Empire
Unknown|Brooklyn|3/8/1977|953|LP-00953|Fort Hamilton Officer's Club (Casemate Fort)|Individual Landmark|FALSE||9275 Ft Hamilton Parkway|Municipal
Hunt & Hunt|Manhattan|3/22/1977|954|LP-00954|647 Fifth Avenue Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0954.jpg|647 Fifth Avenue|Louis XV
Unknown|Manhattan|9/20/1977|955|LP-00955|Metropolitan Museum Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0955.jpg||N/A
Unknown|Brooklyn|6/28/1977|956|LP-00956|Fulton Ferry Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0956.jpg||N/A
Unknown|Brooklyn|7/12/1977|957|LP-00957|677 Lafayette Avenue House (Magnolia Grandiflora)|Individual Landmark|FALSE||677 Lafayette Avenue|N/A
Unknown|Brooklyn|7/12/1977|958|LP-00958|678 Lafayette Avenue House (Magnolia Grandiflora)|Individual Landmark|FALSE||678 Lafayette Avenue|N/A
Unknown|Brooklyn|7/12/1977|959|LP-00959|679 Lafayette Avenue House (Magnolia Grandiflora)|Individual Landmark|FALSE||679 Lafayette Avenue|N/A
Vaux & Radford|Manhattan|7/12/1997|960|LP-00960|Fourteenth Ward Industrial School of the Children's Aid Society (Astor Memorial Building)|Individual Landmark|FALSE||256-258 Mott Street|Victorian Gothic
James Renwick, Jr.; William Rodrigue|Manhattan|7/12/1977|961|LP-00961|Saint Patrick's Chancery Office|Individual Landmark|FALSE||266 Mulberry Street|Gothic Revival
Harde & Short|Manhattan|11/15/1977|963|LP-00963|45 East 66th Street Building|Individual Landmark|FALSE||45 East 66 Street|French Gothic
Unknown|Manhattan|7/12/1977|964|LP-00964|Central Park West - West 73rd-74th Street Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0964.jpg||N/A
Hunt & Hunt|Manhattan|9/20/1977|968|LP-00968|First Precinct Police Station|Individual Landmark|FALSE||100 Old Slip|Italian Renaissance Palazzo
William Schickel|Manhattan|9/20/1977|969|LP-00969|New York Free Circulating Library, Ottendorfer Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0969.jpg|135 Second Avenue|Queen Anne/Renaissance Revival
James H. Giles|Manhattan|11/15/1977|970|LP-00970|Lord & Taylor Store|Individual Landmark|FALSE||901 Broadway|French Second Empire
Halsey McCormack & Helmer|Brooklyn|11/15/1977|971|LP-00971|Williamsburgh Savings Bank (Hanson Place)|Individual Landmark|FALSE||1 Hanson Place|Neo-Romanesque
Unknown|Manhattan|11/15/1977|972|LP-00972|Metropolitan Museum of Art|Interior Landmark|FALSE||1000 Fifth Avenue|N/A
Unknown|Brooklyn|9/26/1978|973|LP-00973|Fort Greene Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0973.jpg||N/A
James W. Naughton|Brooklyn|1/10/1978|974|LP-00974|Public School 9 Annex|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0974.jpg|689 Vanderbilt Avenue|Romanesque Revival, Renaissance
Samuel B. Leonard|Brooklyn|1/10/1978|975|LP-00975|Public School 111|Individual Landmark|FALSE||249 Sterling Place|Romanesque Revival
Simon Williams|Bronx|1/10/1978|976|LP-00976|Public School 15|Individual Landmark|FALSE||4010 Dyre Avenue|Victorian Gothic
Fleischman Construction Company|Queens|3/14/1978|977|LP-00977|Paramount Studies, Building No. 1 (Main Building)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0977.jpg|34-12 36 Street|N/A
Unknown|Brooklyn|2/8/1979|979|LP-00979|Prospect Park South Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0979.jpg||N/A
Thomas A. Gray|Manhattan|3/28/1978|980|LP-00980|Civic Club|Individual Landmark|FALSE||243 East 34Th Street|Beaux Arts
Unknown|Manhattan|5/9/1978|981|LP-00981|208 East 78th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0981.jpg|208 East 78 Street|N/A
Unknown|Manhattan|5/9/1978|982|LP-00982|210 East 78th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0982.jpg|210 East 78 Street|N/A
Unknown|Manhattan|5/9/1978|983|LP-00983|212 East 78th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0983.jpg|212 East 78 Street|N/A
Unknown|Manhattan|5/9/1978|984|LP-00984|214 East 78th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0984.jpg|214 East 78 Street|N/A
Unknown|Manhattan|5/9/1978|985|LP-00985|216 East 78th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0985.jpg|216 East 78 Street|N/A
Unknown|Manhattan|5/9/1978|986|LP-00986|218 East 78th Street House|Individual Landmark|FALSE||218 East 78 Street|N/A
Stephen Decatur Hatch|Manhattan|3/14/1978|987|LP-00987|Fleming Smith Warehouse|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0987.jpg|451-453 Washington Street|Romanesque Revival, Flemish Renaissance
Unknown|Brooklyn|7/11/1978|989|LP-00989|Albemarle-Kenmore Terraces Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0989.jpg||N/A
Unknown|Manhattan|5/9/1978|990|LP-00990|Andrew Norwood House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0990.jpg|241 West 14Th Street|Transitional Greek Revival/Italianate
McKim Mead & White with William M. Kendall|Manhattan|3/28/1978|991|LP-00991|Casa Italiana|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0991.jpg|1161 Amsterdam Avenue|15th century Roman palazzo
William Van Alen|Manhattan|9/12/1978|992|LP-00992|Chrysler Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0992.jpg|405 Lexington Avenue|Art Deco
Irwin S. Chanin; Sloan & Robertson|Manhattan|11/14/1978|993|LP-00993|Chanin Building|Individual Landmark|FALSE||122 East 42Nd Street|Art Deco, skyscraper
Unknown|Manhattan|11/14/1978|994|LP-00994|Fraunces Tavern Block Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0994.jpg||N/A
Associated Architects|Manhattan|3/28/1978|995|LP-00995|Radio City Music Hall|Interior Landmark|FALSE||1260 Sixth Avenue|N/A
William Van Alen|Manhattan|9/12/1978|996|LP-00996|Chrysler Building|Interior Landmark|FALSE||405 Lexington Avenue|Art Deco
Unknown|Brooklyn|7/11/1978|997|LP-00997|271 Ninth Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0997.jpg|271 9 Street|French Second Empire
Frederick Law Olmstead (landscaper) and Calvery Vaux|Brooklyn|8/22/1978|998|LP-00998|Eastern Parkway|Scenic Landmark|FALSE||Eastern Parkway Between Grand Army Plaza And Ralph Avenue|N/A
Hoppin & Koen|Manhattan|9/26/1978|999|LP-00999|New York City Police Headquarters|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0999.jpg|240 Centre Street|Edwardian Baroque
McKim, Mead & White; William S. Richardson|Manhattan|5/8/1979|1000|LP-01000|Racquet and Tennis Club Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1000.jpg|370 Park Avenue|Italian Renaissance
Unknown|Manhattan|1/9/1979|1001|LP-01001|Audubon Terrace Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1001.jpg||N/A
Seth Geer|Staten Island|8/22/1978|1002|LP-01002|Caleb T. Ward Mansion|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1002.jpg|141 Nixon Avenue|Greek Revival
Unknown|Brooklyn|9/26/1978|1003|LP-01003|Brooklyn Academy of Music Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1003.jpg||N/A
Unknown|Manhattan|3/13/1979|1004|LP-01004|146 East 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1004.jpg|146 East 89 Street|N/A
Unknown|Manhattan|3/13/1979|1005|LP-01005|148 East 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1005.jpg|148 East 89 Street|N/A
Unknown|Manhattan|3/13/1979|1006|LP-01006|150 East 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1006.jpg|150 East 89 Street|N/A
Unknown|Manhattan|3/13/1979|1007|LP-01007|152 East 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1007.jpg|152 East 89 Street|N/A
Unknown|Manhattan|3/13/1979|1008|LP-01008|154 East 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1008.jpg|154 East 89 Street|N/A
Unknown|Manhattan|3/13/1979|1009|LP-01009|156 Eat 89th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1009.jpg|156 East 89 Street|N/A
J. Morgan Slade|Manhattan|11/14/1978|1010|LP-01010|David S. Brown Store|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1010.jpg|8 Thomas Street|Victorian Gothic
McKim, Mead & White; Teunis J. van der Bent|Manhattan|11/28/1978|1011|LP-01011|Town Hall|Individual Landmark|FALSE||113-123 West 43Rd Street|N/A
McKim, Mead & White; Teunis J. van der Bent|Manhattan|11/28/1978|1012|LP-01012|Town Hall|Interior Landmark|FALSE||113-123 West 43Rd Street|Colonial Revival
Meyer & Mathieu|Brooklyn|1/9/1979|1013|LP-01013|Flatbush Dutch Reformed Church Parsonage|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1013.jpg|2103 Kenmore Terrace|Vernacular, Greek Revival, Italianate, Colonial Revival
Henry Engelbert|Bronx|2/8/1979|1014|LP-01014|College of Mount St. Vincent Administration Building|Individual Landmark|FALSE||6301 Riverdale Avenue|Early Romanesque Revival, Gothic
Unknown|Queens|3/13/1979|1017|LP-01017|St. Monica's Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1017.jpg|94-43 160 Street|Early Romanesque Revival
Warren & Wetmore|Manhattan|9/11/1979|1019|LP-01019|New York Yacht Club Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1019.jpg|37 West 44Th Street|Beaux Arts
McKim Mead & White with Stanford White|Manhattan|9/11/1979|1020|LP-01020|Metropolitan Club Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1020.jpg|790 Fifth Avenue|Italian Renaissance
Heins & La Farge|Manhattan|1/9/1979|1021|LP-01021|Interborough Rapid Transit System, 72nd Street Control House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1021.jpg|West 72Nd Street|Flemish-inspired
Cass Gilbert|Manhattan|1/9/1979|1022|LP-01022|United States Custom House|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1022.jpg|Bowling Green|Beaux Arts
Unknown|Brooklyn|10/9/1979|1024|LP-01024|Prospect Lefferts Gardens Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1024.jpg||N/A
Herts & Tallant|Manhattan|10/23/1979|1026|LP-01026|New Amsterdam Theater|Individual Landmark|FALSE||214 West 42Nd Street|Beaux Arts
Herts & Tallant|Manhattan|10/23/1979|1027|LP-01027|New Amsterdam Theater|Interior Landmark|FALSE||214 West 42Nd Street|Art Nouveau
Unknown|Manhattan|3/23/1981|1035|LP-01035|Croton Aqueduct Gate House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1035.jpg|1501 Amsterdam Avenue|N/A
George B. Post and George B. Post & Sons|Manhattan|5/26/1981|1036|LP-01036|City College, City University of New York (CUNY), North Campus|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1036.jpg|1605 Amsterdam Avenue|N/A
Stephen Decatur Hatch|Manhattan|5/22/1979|1038|LP-01038|Robbins & Appleton Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1038.jpg|1-5 Bond Street|French Second Empire
Stephen Decatur Hatch|Manhattan|9/11/1979|1039|LP-01039|Gilsey House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1039.jpg|1200 Broadway|French Second Empire
Unknown|Manhattan|9/11/1979|1040|LP-01040|Woods Mercantile Buildings|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1040.jpg|46-50 White Street|Italianate
Henry Englebert|Manhattan|9/11/1979|1041|LP-01041|Grand Hotel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1041.jpg|1232-1238 Broadway|French Second Empire
Robert W. Gibson; Edward J. N. Stent|Manhattan|9/11/1979|1044|LP-01044|Church Missions House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1044.jpg|281 Park Avenue South|N/A
Horace Trumbauer|Manhattan|9/11/1979|1045|LP-01045|Adelaide L. T. Douglas Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1045.jpg|57 Park Avenue|Louis XVI
Emlen T. Littlle|Manhattan|9/11/1979|1046|LP-01046|Church of the Incarnation and Rectory|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1046.jpg|205 And 209 Madison Avenue|Gothic Revival
McKim, Mead & White; Stanford White|Manhattan|9/11/1979|1047|LP-01047|Thomas and Fanny Clarke House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1047.jpg|22 East 35Th Street|N/A
Hoppin & Koen|Manhattan|9/11/1979|1048|LP-01048|James F. D. and Harriet Lanier Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1048.jpg|123 East 35Th Street|Beaux Arts
Raymond M. Hood|Manhattan|7/28/1981|1049|LP-01049|Daily News Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1049.jpg|220 East 42Nd Street|Art Deco
Raymond Hood; Godley & Fouilhoux|Manhattan|9/11/1979|1050|LP-01050|McGraw-Hill Building|Individual Landmark|FALSE||330 West 42Nd Street|Art Deco
Unknown|Manhattan|5/19/1981|1051|LP-01051|Upper East Side Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1051.jpg||N/A
Unknown|Manhattan|5/19/1981|1052|LP-01052|St. Vincent Ferrer Priory and School|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1052.jpg|869 Lexington Avenue|N/A
Buchman & Deisler and Brunner & Tryon|Manhattan|1/29/1980|1053|LP-01053|149-151 East 67th Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1053.jpg|149 East 67 Street|Italian Renaissance
Schneider & Herter|Manhattan|1/29/1980|1056|LP-01056|Park East Synagogue|Individual Landmark|FALSE||163 East 67 Street|Moorish
Rossier & Wright|Manhattan|1/29/1980|1057|LP-01057|130-134 East 67th Street|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1057.jpg|895 Lexington Avenue|Italian Renaissance
Unknown|Manhattan|5/13/1980|1058|LP-01058|161 East 73rd Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1058.jpg|161 East 73 Street|N/A
Unknown|Manhattan|5/13/1980|1059|LP-01059|163 East 73rd Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1059.jpg|163 East 73 Street|N/A
